Image,Quality,PSNR,SSIM,FSI,Payload,Max EC,Success,,,
splash,60,44.57175584,0.985961759,501,12000,14825,Yes,,,
splash,60,44.15711295,0.984905925,540,13000,14825,Yes,,,
splash,60,43.62587562,0.983595443,595,14000,14825,Yes,,,
splash,60,43.00899915,0.982591515,629,15000,14825,No,,,
splash,70,57.4793316,0.999546429,27,1000,20392,Yes,,,
splash,70,54.70399311,0.998898585,47,2000,20392,Yes,,,
splash,70,53.0414213,0.998127232,59,3000,20392,Yes,,,
splash,70,51.92773695,0.997412001,112,4000,20392,Yes,,,
splash,70,51.07843752,0.996642748,130,5000,20392,Yes,,,
splash,70,50.3898036,0.995811882,155,6000,20392,Yes,,,
splash,70,49.77882581,0.994862257,218,7000,20392,Yes,,,
splash,70,49.31370546,0.99431298,271,8000,20392,Yes,,,
splash,70,48.89027866,0.993869256,282,9000,20392,Yes,,,
splash,70,48.49680735,0.993308222,302,10000,20392,Yes,,,
splash,70,47.87861466,0.992443585,321,11000,20392,Yes,,,
splash,70,47.41296531,0.991535516,376,12000,20392,Yes,,,
splash,70,46.97180397,0.990429442,470,13000,20392,Yes,,,
splash,70,46.67483505,0.990023544,469,14000,20392,Yes,,,
splash,70,46.2809918,0.989236315,489,15000,20392,Yes,,,
